Sr.,Date,open ,high,low,close
0,10/04 13:56,2225.7,2226.95,2225.7,2225.7
1,10/04 13:55,2226.15,2226.7,2225.4,2225.7
2,10/04 13:54,2227.5,2227.5,2225.55,2226.15
3,10/04 13:53,2230.2,2230.2,2227.5,2227.5
4,10/04 13:52,2229.05,2230.5,2228.6,2230.2
5,10/04 13:51,2228.95,2229.65,2228.4,2229.05
6,10/04 13:50,2226.2,2228.95,2226.2,2228.95
7,10/04 13:49,2226.25,2226.25,2226.0,2226.2
8,10/04 13:48,2228.1,2228.1,2226.25,2226.25
9,10/04 13:47,2229.0,2229.0,2228.1,2228.1
10,10/04 13:46,2228.1,2229.0,2228.1,2229.0
11,10/04 13:45,2226.95,2228.1,2226.95,2228.1
12,10/04 13:44,2227.45,2227.45,2225.95,2226.95
13,10/04 13:43,2226.7,2227.5,2226.7,2227.45
14,10/04 13:42,2226.7,2226.7,2226.6,2226.7
15,10/04 13:41,2227.8,2227.8,2226.7,2226.7
16,10/04 13:40,2227.95,2228.2,2227.05,2227.8
17,10/04 13:39,2229.05,2229.05,2227.05,2227.95
18,10/04 13:38,2229.65,2229.65,2228.7,2229.05
19,10/04 13:37,2228.7,2229.65,2228.7,2229.65
20,10/04 13:36,2228.7,2228.7,2228.7,2228.7
21,10/04 13:35,2229.55,2230.05,2228.7,2228.7
22,10/04 13:34,2229.55,2229.55,2229.55,2229.55
23,10/04 13:33,2229.55,2230.0,2229.55,2229.55
24,10/04 13:32,2230.75,2230.75,2229.55,2229.55
25,10/04 13:31,2229.55,2230.75,2229.55,2230.75
26,10/04 13:30,2230.75,2230.75,2229.55,2229.55
27,10/04 13:29,2229.85,2230.75,2229.85,2230.75
28,10/04 13:28,2229.55,2229.85,2229.55,2229.85
29,10/04 13:27,2229.85,2231.15,2229.55,2229.55
30,10/04 13:26,2229.85,2230.85,2229.85,2229.85
31,10/04 13:25,2229.65,2231.15,2229.65,2229.85
32,10/04 13:24,2230.35,2230.35,2229.65,2229.65
33,10/04 13:23,2231.35,2231.6,2230.35,2230.35
34,10/04 13:22,2229.65,2231.75,2229.65,2231.35
35,10/04 13:21,2231.75,2231.75,2229.65,2229.65
36,10/04 13:20,2232.0,2232.4,2230.2,2231.75
37,10/04 13:19,2232.4,2232.4,2232.0,2232.0
38,10/04 13:18,2231.45,2232.4,2231.45,2232.4
39,10/04 13:17,2232.4,2232.4,2230.95,2231.45
40,10/04 13:16,2230.75,2232.4,2230.75,2232.4
41,10/04 13:15,2231.4,2231.4,2230.75,2230.75
42,10/04 13:14,2231.35,2231.4,2230.5,2231.4
43,10/04 13:13,2230.5,2231.45,2230.5,2231.35
44,10/04 13:12,2230.5,2230.5,2230.5,2230.5
45,10/04 13:11,2230.75,2231.3,2230.5,2230.5
46,10/04 13:10,2230.75,2231.6,2230.75,2231.6
47,10/04 13:09,2231.3,2231.3,2230.75,2230.75
48,10/04 13:08,2231.5,2232.2,2230.75,2230.85
49,10/04 13:07,2230.6,2231.5,2230.6,2231.5
50,10/04 13:06,2230.5,2231.6,2230.5,2230.6
51,10/04 13:05,2231.45,2231.75,2230.5,2230.5
52,10/04 13:04,2230.9,2232.2,2230.9,2231.45
53,10/04 13:03,2231.45,2232.4,2230.55,2230.9
54,10/04 13:02,2232.4,2232.4,2231.55,2231.55
55,10/04 13:01,2232.4,2232.4,2232.4,2232.4
56,10/04 13:00,2232.4,2232.4,2231.7,2232.4
57,10/04 12:59,2232.4,2232.4,2232.4,2232.4
58,10/04 12:58,2231.55,2232.6,2231.2,2232.4
59,10/04 12:57,2231.65,2232.85,2231.55,2231.55
60,10/04 12:56,2232.4,2232.4,2231.65,2231.65
61,10/04 12:55,2232.4,2232.7,2232.4,2232.4
62,10/04 12:54,2233.0,2233.0,2233.0,2233.0
63,10/04 12:53,2232.8,2233.0,2232.8,2233.0
64,10/04 12:52,2231.75,2232.75,2231.75,2232.75
65,10/04 12:51,2233.85,2233.85,2231.2,2231.75
66,10/04 12:50,2233.85,2233.85,2233.85,2233.85
67,10/04 12:49,2233.05,2234.1,2233.05,2233.85
68,10/04 12:48,2230.4,2233.45,2230.4,2233.05
69,10/04 12:47,2230.4,2230.8,2229.3,2230.4
70,10/04 12:46,2229.9,2230.5,2229.9,2230.4
71,10/04 12:45,2229.95,2229.95,2229.0,2229.9
72,10/04 12:44,2230.2,2231.55,2228.8,2229.95
73,10/04 12:43,2232.25,2232.25,2230.1,2230.2
74,10/04 12:42,2234.2,2234.2,2232.25,2232.25
75,10/04 12:41,2233.8,2234.2,2233.8,2234.2
76,10/04 12:40,2234.2,2234.2,2233.8,2233.8
77,10/04 12:39,2233.35,2234.2,2233.35,2234.2
78,10/04 12:38,2233.25,2233.35,2233.25,2233.35
79,10/04 12:37,2232.4,2233.25,2232.4,2233.25
80,10/04 12:36,2232.4,2232.4,2232.4,2232.4
81,10/04 12:35,2232.4,2233.1,2232.4,2232.4
82,10/04 12:34,2233.8,2233.8,2232.4,2232.4
83,10/04 12:33,2233.8,2234.0,2232.7,2233.8
84,10/04 12:32,2234.15,2234.15,2232.5,2233.8
85,10/04 12:31,2234.2,2234.2,2234.15,2234.15
86,10/04 12:30,2233.2,2234.2,2233.2,2234.2
